Code,EQ,Species,Complexes,Complex2,Chemotype,Host,Year ,State,Municipality,Lat,Lon
F1048,2506,F. meridionale,FGSC,FGSC,NIV,Wheat,2012,Parana,Pinh‹o,-25.798797,-51.825289
F1049,2511,F. meridionale,FGSC,FGSC,NIV,Barley,2012,Parana,Guarapuava,-25.333006,-51.457181
F1053,3197,F. poae,F. poae,F. poae,NA,Barley,2012,Parana,Guarapuava,-25.524967,-51.674969
F1054,3198,FIESC ,FIESC,FIESC,NA,Barley,2012,Parana,Guarapuava,-25.522658,-51.680153
F1055,3201,F. poae,F. poae,F. poae,NA,Barley,2012,Parana,Guarapuava,-25.521314,-51.680919
F1057,3196,F. graminearum,FGSC,FGSC,15-ADON,Barley,2012,Parana,Guarapuava,-25.524386,-51.676894
F1058,3212,F. poae,F. poae,F. poae,NA,Barley,2012,Parana,Guarapuava,-25.426211,-51.659006
F1059,3210,FIESC ,FIESC,FIESC,NA,Barley,2012,Parana,Guarapuava,-25.427119,-51.655281
F1060,3203,F. poae,F. poae,F. poae,NA,Barley,2012,Parana,Guarapuava,-25.429842,-51.655197
F1061,3204,F. poae,F. poae,F. poae,NA,Barley,2012,Parana,Guarapuava,-25.42985,-51.653664
F1062,3205,F. poae,F. poae,F. poae,NA,Barley,2012,Parana,Guarapuava,-25.428633,-51.655956
F1064,2992,F. avenaceum ,FTSC,FTSC,NA,Wheat,2012,Parana,Guarapuava,-25.561022,-51.792717
F1066,2990,F. cortaderiae,FGSC,FGSC,NIV,Wheat,2012,Parana,Pinh‹o,-25.692447,-51.837519
F1067,2986,F. meridionale,FGSC,FGSC,NIV,Wheat,2012,Parana,Pinh‹o,-25.696569,-51.833633
F1068,2542,FOSC,FOSC,Others,NA,Barley,2012,Parana,Cand—i,-25.4785,-51.864003
F1075,3118,F. poae,F. poae,F. poae,NA,Barley,2012,Parana,Guarapuava,-25.216844,-51.642978
F1077,3116,F. poae,F. poae,F. poae,NA,Barley,2012,Parana,Guarapuava,-25.217758,-51.641256
